406953	MESH:D012021	11693395	mir18a	\N	\N	\N	The influence of microgravity on voluntary and electrically evoked contractions of the triceps surae (TS) of seven crewmembers was studied before and after spaceflights (space MIR flights: MIR-18, -22, -25, -26, and -27).	The influence of microgravity on voluntary and electrically evoked contractions of the triceps surae ( TS ) of seven crewmembers was studied before and after spaceflights ( space MIR flights : MIR-18 , -22 , -25 , -26 , and -27 ) .	The influence microgravity voluntary electrically evoked contractions triceps surae TS seven crewmembers studied spaceflights space MIR flights MIR-18 -22 -25 -26 -27	MIR-18, -22, -25, -26, and -27	triceps surae
574502	9606	12749511	mir500a	\N	\N	\N	Eligible patients were to have a glycated hemoglobin (HbA1c) value < or = 8.5% and mean fasting plasma glucose (FPG) concentrations < or = 200 mg/dL while receiving MIR 500 mg BID for at least 8 weeks.	Eligible patients were to have a glycated hemoglobin ( HbA1c ) value < or = 8.5 % and mean fasting plasma glucose ( FPG ) concentrations < or = 200 mg/dL while receiving MIR 500 mg BID for at least 8 weeks .	Eligible patients glycated hemoglobin HbA1c value 8.5 mean fasting plasma glucose FPG concentrations 200 mg/dL receiving MIR 500 mg BID least 8 weeks	MIR 500	patient
574502	9606	12749511	mir500a	\N	\N	\N	After a 2-week, single-blind lead-in period, patients were randomly assigned to receive MXR 1000 or 1500 mg QD for 24 weeks or to continue MIR 500 mg BID for 24 weeks.	After a 2-week , single-blind lead-in period , patients were randomly assigned to receive MXR 1000 or 1500 mg QD for 24 weeks or to continue MIR 500 mg BID for 24 weeks .	After 2-week single-blind lead-in period patients randomly assigned receive MXR 1000 1500 mg QD 24 weeks continue MIR 500 mg BID 24 weeks	MIR 500	patient
494324	CHEBI:29108	15538371	mir375	\N	\N	\N	The mechanism by which secretion is modified by miR-375 is independent of changes in glucose metabolism or intracellular Ca2+-signalling but correlated with a direct effect on insulin exocytosis.	The mechanism by which secretion is modified by miR-375 is independent of changes in glucose metabolism or intracellular Ca2+-signalling but correlated with a direct effect on insulin exocytosis .	The mechanism secretion modified miR-375 independent changes glucose metabolism intracellular Ca2+-signalling correlated direct effect insulin exocytosis	miR-375	Ca2+
494324	MESH:D005947	15538371	mir375	\N	\N	\N	The mechanism by which secretion is modified by miR-375 is independent of changes in glucose metabolism or intracellular Ca2+-signalling but correlated with a direct effect on insulin exocytosis.	The mechanism by which secretion is modified by miR-375 is independent of changes in glucose metabolism or intracellular Ca2+-signalling but correlated with a direct effect on insulin exocytosis .	The mechanism secretion modified miR-375 independent changes glucose metabolism intracellular Ca2+-signalling correlated direct effect insulin exocytosis	miR-375	glucose
406934	MESH:D007938	15737576	mir142	\N	\N	\N	Some human miRNAs are linked to leukemias: the miR-15a/miR-16 locus is frequently deleted or down-regulated in patients with B-cell chronic lymphocytic leukemia and miR-142 is at a translocation site found in a case of aggressive B-cell leukemia.	Some human miRNAs are linked to leukemias : the miR-15a/miR-16 locus is frequently deleted or down-regulated in patients with B-cell chronic lymphocytic leukemia and miR-142 is at a translocation site found in a case of aggressive B-cell leukemia .	Some human miRNAs linked leukemias miR-15a/miR-16 locus frequently deleted down-regulated patients B-cell chronic lymphocytic leukemia miR-142 translocation site found case aggressive B-cell leukemia	miR-142	leukemias
406948	9606	15737576	mir15a	\N	\N	\N	Some human miRNAs are linked to leukemias: the miR-15a/miR-16 locus is frequently deleted or down-regulated in patients with B-cell chronic lymphocytic leukemia and miR-142 is at a translocation site found in a case of aggressive B-cell leukemia.	Some human miRNAs are linked to leukemias : the miR-15a/miR-16 locus is frequently deleted or down-regulated in patients with B-cell chronic lymphocytic leukemia and miR-142 is at a translocation site found in a case of aggressive B-cell leukemia .	Some human miRNAs linked leukemias miR-15a/miR-16 locus frequently deleted down-regulated patients B-cell chronic lymphocytic leukemia miR-142 translocation site found case aggressive B-cell leukemia	miR-15a	patients
406906	9606	15901636	mir122	\N	\N	\N	We propose that specific microRNAs, such as Mirn122a, could be involved in the posttranscriptional regulation of mRNAs such as Tnp2 in the mammalian testis.	We propose that specific microRNAs , such as Mirn122a , could be involved in the posttranscriptional regulation of mRNAs such as Tnp2 in the mammalian testis .	We propose specific microRNAs Mirn122a could involved posttranscriptional regulation mRNAs Tnp2 mammalian testis	Mirn122a	mammalian
406952	MESH:D016393	15944707	mir17	\N	\N	\N	Enforced expression of the mir-17-92 cluster acted with c-myc expression to accelerate tumour development in a mouse B-cell lymphoma model.	Enforced expression of the mir-17-92 cluster acted with c-myc expression to accelerate tumour development in a mouse B-cell lymphoma model .	Enforced expression mir-17-92 cluster acted c-myc expression accelerate tumour development mouse B-cell lymphoma model	mir-17	B-cell lymphoma
406952	MESH:D008223	15944707	mir17	\N	\N	\N	Tumours derived from haematopoietic stem cells expressing a subset of the mir-17-92 cluster and c-myc could be distinguished by an absence of apoptosis that was otherwise prevalent in c-myc-induced lymphomas.	Tumours derived from haematopoietic stem cells expressing a subset of the mir-17-92 cluster and c-myc could be distinguished by an absence of apoptosis that was otherwise prevalent in c-myc-induced lymphomas .	Tumours derived haematopoietic stem cells expressing subset mir-17-92 cluster c-myc could distinguished absence apoptosis otherwise prevalent c-myc-induced lymphomas	mir-17	lymphomas
